Recency,Frequency,Monetary
1.4422495703074083,5.667051108097064,82.11564092499331
4.235823584254893,3.0,63.61190921848796
2.6207413942088964,4.160167646103808,56.10577372650407
6.767899452107008,2.519842099789746,34.75364418418741
3.3019272488946267,4.379519139887889,53.347192578768265
5.915481699700717,1.5874010519681994,21.112024173087452
6.144633651371695,3.870876640627797,51.368849692847505
5.981424029720886,2.3513346877207573,40.37808176178372
2.8844991406148166,3.870876640627797,69.21580547120473
3.2075343299958265,5.078753078132701,91.71362589358941
1.0,2.571281590658235,47.27766825708042
2.0,6.333025531362916,89.01838613535503
3.732511156817248,5.0132979349645845,65.54802918264572
6.59620228410148,2.080083823051904,27.862420339472365
1.4422495703074083,6.415068659991653,83.32792320432921
4.776856181035017,2.8438669798515654,42.79549549356224
1.9129311827723892,4.326748710922225,58.984004090324376
6.626705387476669,2.7589241763811208,34.49758437192881
1.709975946676697,2.154434690031884,28.65829633632101
3.708429769266189,5.4958646600950125,77.7232135818557
3.8929964158732604,3.9578916096804058,56.71697186101916
4.140817749422853,3.659305710022972,54.72401691696531
6.7751689522733125,2.3513346877207573,34.87684608017004
2.924017738212866,3.1748021039363987,42.360465106057205
1.4422495703074083,2.519842099789746,36.180421430693
6.804092115953368,4.235823584254893,58.51366958423539
5.052774347208561,6.027650160149742,80.35137113630356
4.344481485768612,3.391211443014167,45.40668392474575
2.7589241763811208,4.657009507803836,66.64083443617531
2.080083823051904,4.414004962442103,56.33273421939854
5.738793548317167,4.562902635386967,61.769347639236884
3.0365889718756627,3.0365889718756627,35.68972024979395
7.013579083499659,2.154434690031884,38.63521355494507
2.4662120743304703,4.641588833612779,70.8968282642
4.2908404270262075,3.141380652391393,40.93585050557131
2.7589241763811208,4.641588833612779,39.261014934955746
4.160167646103808,4.0,58.609408810464345
4.020725758589058,2.924017738212866,52.98706222710297
2.668401648721945,5.277632087904077,72.69636816669552
3.2710663101885897,4.986630952238646,65.98920852027562
3.556893304490063,4.379519139887889,59.952926039993145
4.918684734458728,3.802952460761392,54.106556856789055
6.745996711705425,1.5874010519681994,19.37926718360157
6.86121203584082,2.154434690031884,29.466110657003412
3.708429769266189,1.5874010519681994,34.829648402320885
5.289572472694208,3.7562857542210724,56.3014147189952
2.8020393306553872,4.762203155904599,74.6377793582954
3.659305710022972,4.160167646103808,60.60226766666993
3.1748021039363987,4.762203155904599,69.03960479242349
